loadable,snapshot_date,source_commit,profiles,source,status,baseline_coverage,limited,evidence,coverage_scope,sanitizer_evidence,fuzz_evidence,companion_loadables,busybox_applet,busybox_availability,external_program,external_availability,comparison_scope,metric_kind,work_unit,benchmark_cases,selected_case,fixture,builtin_command,external_command,passes,timed_samples,bashos_result,bashos_ms,busybox_ms,external_ms,bashos_over_external,priority,next_work,notes
acme,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/acme.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,certbot / acme.sh,adapter,"Controlled ACME peer; separate crypto, protocol and remote issuance latency.",self-timed,"one P-256 base-point scalar multiplication (32-byte fixture scalar to an uncompressed public point), the RFC 7638 canonical 126-byte JWK built from x and y, one SHA-256 over it and base64url of the 32-byte digest, 44 bytes out; the scalar multiplication dominates",acme-jwk-thumbprint,acme-jwk-thumbprint,empty,acme jwk-thumbprint -k 5a1c1f4b9e2d8a7c3f60b5d4e9a28c1706f3b8d5e4c2a19f8b7d6e5c4a3f2b19,acme jwk-thumbprint -k 5a1c1f4b9e2d8a7c3f60b5d4e9a28c1706f3b8d5e4c2a19f8b7d6e5c4a3f2b19,28,7,ok,66.96,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
apropos,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/apropos.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,man,,n/a,apropos,available,Same-name candidate; only measured arguments are compared.,compared,"1283890 B / 20000 whatis-index lines scanned with a substring match, 2500 matching lines printed (161110 B)",apropos,apropos,empty,apropos alpha,apropos alpha,41,7,ok,62.856,,355.389,0.1769,P4,Extend sizes/options; no selected-case performance priority.,
ar,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/ar.c,Bench checked,Build/help,False,,,,,,ar,available,ar,available,Same-name candidate; only measured arguments are compared.,compared,,ar,ar,empty,ar t tiny.a,ar t tiny.a,100,7,ok,4.196,76.195,103.79,0.0404,P4,Extend sizes/options; no selected-case performance priority.,"Truncated headers, extract write errors and short member bodies are rejected; tests/ar-check.sh matches GNU 2.44 including /dev/full unlink and archive-link identity."
asort,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,full,Bash examples/loadables/asort.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,gawk asort(),adapter,Array sorting API; requires an adapter.,self-timed,"a 50,000-element numeric sort of a bash array (the existing numbers fixture, 369,296 bytes) plus 50,000 index writes into the destination array",asort-index-numeric,asort-index-numeric,empty,asort -n -i I A,asort -n -i I A,3,7,ok,176.69,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
at,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/at.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,at,missing,Same-name candidate; only measured arguments are compared.,self-timed,"4096 job dirents scanned in the at spool, 4096 job ids printed (65536 B)",at-list,at-list,empty,at -l,at -l,32,7,ok,66.285,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
audit,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/audit.c,Contract,Contract,False,tests/network-smoke.py,"Private files, packet/parser fixtures and loopback connections.",,,,,n/a,auditctl / ausearch,adapter,Kernel audit and record APIs; match rules and events in an isolated fixture.,self-timed,"one 3069-byte kernel audit message body (89 tokens, a0..a47 execve vector) scanned twice - five lifted columns via ba_field, then the kv tail - and re-emitted as a 3044-byte 9-field TSV record, character at a time through fputc",audit-decode-text,audit-decode-text,empty,"audit decode-text 1300 'audit(1757600000.123:4242): arch=c000003e syscall=59 success=yes exit=0 a0=7ffd0a1b2c30 a1=7ffd0a1b2d40 a2=7ffd0a1b2e50 a3=7f2b1c0d8e60 items=2 ppid=1024 pid=2048 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=3 comm=""bash"" exe=""/usr/local/bin/bash-os"" subj=unconfined key=""exec-watch"" cwd=""/home/pleb/projects/bash-os"" a0=""/home/pleb/projects/bash-os/loadables/part00.c"" a1=""/home/pleb/projects/bash-os/loadables/part01.c"" a2=""/home/pleb/projects/bash-os/loadables/part02.c"" a3=""/home/pleb/projects/bash-os/loadables/part03.c"" a4=""/home/pleb/projects/bash-os/loadables/part04.c"" a5=""/home/pleb/projects/bash-os/loadables/part05.c"" a6=""/home/pleb/projects/bash-os/loadables/part06.c"" a7=""/home/pleb/projects/bash-os/loadables/part07.c"" a8=""/home/pleb/projects/bash-os/loadables/part08.c"" a9=""/home/pleb/projects/bash-os/loadables/part09.c"" a10=""/home/pleb/projects/bash-os/loadables/part10.c"" a11=""/home/pleb/projects/bash-os/loadables/part11.c"" a12=""/home/pleb/projects/bash-os/loadables/part12.c"" a13=""/home/pleb/projects/bash-os/loadables/part13.c"" a14=""/home/pleb/projects/bash-os/loadables/part14.c"" a15=""/home/pleb/projects/bash-os/loadables/part15.c"" a16=""/home/pleb/projects/bash-os/loadables/part16.c"" a17=""/home/pleb/projects/bash-os/loadables/part17.c"" a18=""/home/pleb/projects/bash-os/loadables/part18.c"" a19=""/home/pleb/projects/bash-os/loadables/part19.c"" a20=""/home/pleb/projects/bash-os/loadables/part20.c"" a21=""/home/pleb/projects/bash-os/loadables/part21.c"" a22=""/home/pleb/projects/bash-os/loadables/part22.c"" a23=""/home/pleb/projects/bash-os/loadables/part23.c"" a24=""/home/pleb/projects/bash-os/loadables/part24.c"" a25=""/home/pleb/projects/bash-os/loadables/part25.c"" a26=""/home/pleb/projects/bash-os/loadables/part26.c"" a27=""/home/pleb/projects/bash-os/loadables/part27.c"" a28=""/home/pleb/projects/bash-os/loadables/part28.c"" a29=""/home/pleb/projects/bash-os/loadables/part29.c"" a30=""/home/pleb/projects/bash-os/loadables/part30.c"" a31=""/home/pleb/projects/bash-os/loadables/part31.c"" a32=""/home/pleb/projects/bash-os/loadables/part32.c"" a33=""/home/pleb/projects/bash-os/loadables/part33.c"" a34=""/home/pleb/projects/bash-os/loadables/part34.c"" a35=""/home/pleb/projects/bash-os/loadables/part35.c"" a36=""/home/pleb/projects/bash-os/loadables/part36.c"" a37=""/home/pleb/projects/bash-os/loadables/part37.c"" a38=""/home/pleb/projects/bash-os/loadables/part38.c"" a39=""/home/pleb/projects/bash-os/loadables/part39.c"" a40=""/home/pleb/projects/bash-os/loadables/part40.c"" a41=""/home/pleb/projects/bash-os/loadables/part41.c"" a42=""/home/pleb/projects/bash-os/loadables/part42.c"" a43=""/home/pleb/projects/bash-os/loadables/part43.c"" a44=""/home/pleb/projects/bash-os/loadables/part44.c"" a45=""/home/pleb/projects/bash-os/loadables/part45.c"" a46=""/home/pleb/projects/bash-os/loadables/part46.c"" a47=""/home/pleb/projects/bash-os/loadables/part47.c"" name=""loadables/audit.c"" inode=917531 dev=fe:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0' -o -","audit decode-text 1300 'audit(1757600000.123:4242): arch=c000003e syscall=59 success=yes exit=0 a0=7ffd0a1b2c30 a1=7ffd0a1b2d40 a2=7ffd0a1b2e50 a3=7f2b1c0d8e60 items=2 ppid=1024 pid=2048 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=3 comm=""bash"" exe=""/usr/local/bin/bash-os"" subj=unconfined key=""exec-watch"" cwd=""/home/pleb/projects/bash-os"" a0=""/home/pleb/projects/bash-os/loadables/part00.c"" a1=""/home/pleb/projects/bash-os/loadables/part01.c"" a2=""/home/pleb/projects/bash-os/loadables/part02.c"" a3=""/home/pleb/projects/bash-os/loadables/part03.c"" a4=""/home/pleb/projects/bash-os/loadables/part04.c"" a5=""/home/pleb/projects/bash-os/loadables/part05.c"" a6=""/home/pleb/projects/bash-os/loadables/part06.c"" a7=""/home/pleb/projects/bash-os/loadables/part07.c"" a8=""/home/pleb/projects/bash-os/loadables/part08.c"" a9=""/home/pleb/projects/bash-os/loadables/part09.c"" a10=""/home/pleb/projects/bash-os/loadables/part10.c"" a11=""/home/pleb/projects/bash-os/loadables/part11.c"" a12=""/home/pleb/projects/bash-os/loadables/part12.c"" a13=""/home/pleb/projects/bash-os/loadables/part13.c"" a14=""/home/pleb/projects/bash-os/loadables/part14.c"" a15=""/home/pleb/projects/bash-os/loadables/part15.c"" a16=""/home/pleb/projects/bash-os/loadables/part16.c"" a17=""/home/pleb/projects/bash-os/loadables/part17.c"" a18=""/home/pleb/projects/bash-os/loadables/part18.c"" a19=""/home/pleb/projects/bash-os/loadables/part19.c"" a20=""/home/pleb/projects/bash-os/loadables/part20.c"" a21=""/home/pleb/projects/bash-os/loadables/part21.c"" a22=""/home/pleb/projects/bash-os/loadables/part22.c"" a23=""/home/pleb/projects/bash-os/loadables/part23.c"" a24=""/home/pleb/projects/bash-os/loadables/part24.c"" a25=""/home/pleb/projects/bash-os/loadables/part25.c"" a26=""/home/pleb/projects/bash-os/loadables/part26.c"" a27=""/home/pleb/projects/bash-os/loadables/part27.c"" a28=""/home/pleb/projects/bash-os/loadables/part28.c"" a29=""/home/pleb/projects/bash-os/loadables/part29.c"" a30=""/home/pleb/projects/bash-os/loadables/part30.c"" a31=""/home/pleb/projects/bash-os/loadables/part31.c"" a32=""/home/pleb/projects/bash-os/loadables/part32.c"" a33=""/home/pleb/projects/bash-os/loadables/part33.c"" a34=""/home/pleb/projects/bash-os/loadables/part34.c"" a35=""/home/pleb/projects/bash-os/loadables/part35.c"" a36=""/home/pleb/projects/bash-os/loadables/part36.c"" a37=""/home/pleb/projects/bash-os/loadables/part37.c"" a38=""/home/pleb/projects/bash-os/loadables/part38.c"" a39=""/home/pleb/projects/bash-os/loadables/part39.c"" a40=""/home/pleb/projects/bash-os/loadables/part40.c"" a41=""/home/pleb/projects/bash-os/loadables/part41.c"" a42=""/home/pleb/projects/bash-os/loadables/part42.c"" a43=""/home/pleb/projects/bash-os/loadables/part43.c"" a44=""/home/pleb/projects/bash-os/loadables/part44.c"" a45=""/home/pleb/projects/bash-os/loadables/part45.c"" a46=""/home/pleb/projects/bash-os/loadables/part46.c"" a47=""/home/pleb/projects/bash-os/loadables/part47.c"" name=""loadables/audit.c"" inode=917531 dev=fe:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0' -o -",127,7,ok,8.634,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
auth,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/auth.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,,n/a,Authentication policy API; use synthetic credentials and policy fixtures.,self-timed,"129,710 bytes / 2,403 lines of sudoers-shaped policy (2 Defaults, 400 aliases, 2,000 rules) tokenised, validated, normalised and SHA-256'd, emitting 234,022 bytes of defaults/alias/rule records plus the summary line",auth-policy-parse,auth-policy-parse,empty,auth policy-parse auth.policy,auth policy-parse auth.policy,11,7,ok,61.42,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
awk,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;desktop;full,loadables/awk.c,Parity,Parity,False,tests/large-smoke.py,Selected language expressions against host tools; not full language conformance.,tests/large-sanitize.sh,,,awk,available,awk,available,Same-name candidate; only measured arguments are compared.,compared,,awk,awk,records,awk '{sum += $2} END {print sum}',awk '{sum += $2} END {print sum}',13,7,ok,71.547,146.081,76.655,0.9334,P4,Extend sizes/options; no selected-case performance priority.,
basename,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/basename.c,Contract,Contract,False,tests/host-smoke.sh,"Basic file, pipe or archive behavior with an empty PATH.",,,,basename,available,basename,available,Same-name candidate; only measured arguments are compared.,compared,,basename,basename,empty,basename /fixture/path/file.txt,basename /fixture/path/file.txt,121,7,ok,3.641,85.311,72.291,0.0504,P4,Extend sizes/options; no selected-case performance priority.,
bashbase64,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashbase64.c,Bench checked,Build/help,False,,,,,,base64,available,base64,available,Same-name candidate; only measured arguments are compared.,compared,,bashbase64,bashbase64,bytes,bashbase64 -w 0,base64 -w 0,80,7,ok,9.783,68.918,54.979,0.1779,P4,Extend sizes/options; no selected-case performance priority.,
